team,league_points,wins,losses,map_differential,maps_won,maps_lost,opponent_points,opponent_differential,sim_number,rank
New York Excelsior,7,7,9,-2,30,32,124,-30,55,6
Guangzhou Charge,5,5,11,-20,19,39,138,61,55,7
Los Angeles Valiant,0,0,16,-44,4,48,146,103,55,8
Shanghai Dragons,20,12,4,20,38,18,125,-12,56,1
Seoul Dynasty,12,12,4,18,39,21,120,-40,56,2
Chengdu Hunters,12,10,6,11,35,24,118,-55,56,3
Philadelphia Fusion,11,10,6,12,36,24,125,-15,56,4
Hangzhou Spark,9,9,7,10,35,25,126,-24,56,5
New York Excelsior,7,7,9,-2,30,32,124,-29,56,6
Guangzhou Charge,4,4,12,-24,16,40,141,76,56,7
Los Angeles Valiant,0,0,16,-45,3,48,145,99,56,8
Shanghai Dragons,23,12,4,22,38,16,124,-25,57,1
Chengdu Hunters,12,10,6,13,36,23,118,-58,57,2
Seoul Dynasty,11,11,5,12,35,23,122,-24,57,3
Philadelphia Fusion,10,10,6,14,37,23,126,-15,57,4
Hangzhou Spark,9,9,7,7,35,28,126,-14,57,5
New York Excelsior,8,8,8,0,31,31,122,-32,57,6
Guangzhou Charge,4,4,12,-22,17,39,140,63,57,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,57,8
Shanghai Dragons,20,12,4,20,38,18,123,-21,58,1
Chengdu Hunters,14,11,5,16,38,22,116,-66,58,2
Seoul Dynasty,12,12,4,19,40,21,121,-35,58,3
Philadelphia Fusion,10,10,6,12,36,24,126,-12,58,4
Hangzhou Spark,7,7,9,0,31,31,131,3,58,5
New York Excelsior,7,7,9,-4,28,32,124,-26,58,6
Guangzhou Charge,5,5,11,-17,19,36,137,53,58,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,58,8
Shanghai Dragons,20,12,4,19,38,19,124,-16,59,1
Chengdu Hunters,14,11,5,15,38,23,116,-65,59,2
Seoul Dynasty,12,12,4,19,40,21,120,-39,59,3
Philadelphia Fusion,10,10,6,11,36,25,126,-8,59,4
Hangzhou Spark,8,8,8,3,33,30,128,-7,59,5
New York Excelsior,7,7,9,-1,31,32,124,-33,59,6
Guangzhou Charge,4,4,12,-20,19,39,140,62,59,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,59,8
Shanghai Dragons,20,12,4,20,38,18,124,-16,60,1
Seoul Dynasty,15,12,4,18,40,22,120,-40,60,2
Chengdu Hunters,13,11,5,16,38,22,115,-68,60,3
Philadelphia Fusion,9,9,7,9,35,26,129,-2,60,4
Hangzhou Spark,8,8,8,6,34,28,128,-16,60,5
New York Excelsior,8,8,8,0,30,30,121,-36,60,6
Guangzhou Charge,4,4,12,-24,16,40,140,72,60,7
Los Angeles Valiant,0,0,16,-45,3,48,147,106,60,8
Shanghai Dragons,19,11,5,18,37,19,126,-15,61,1
Chengdu Hunters,14,11,5,16,38,22,116,-65,61,2
Seoul Dynasty,13,13,3,20,41,21,118,-41,61,3
Philadelphia Fusion,10,10,6,13,37,24,126,-13,61,4
Hangzhou Spark,7,7,9,1,32,31,130,-3,61,5
New York Excelsior,7,7,9,-3,29,32,124,-27,61,6
Guangzhou Charge,5,5,11,-19,19,38,138,59,61,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,61,8
Shanghai Dragons,22,12,4,21,38,17,125,-19,62,1
Seoul Dynasty,13,12,4,17,39,22,120,-35,62,2
Chengdu Hunters,12,10,6,15,37,22,118,-63,62,3
Philadelphia Fusion,10,10,6,13,37,24,125,-15,62,4
Hangzhou Spark,9,9,7,6,35,29,126,-13,62,5
New York Excelsior,7,7,9,-4,28,32,124,-25,62,6
Guangzhou Charge,4,4,12,-22,17,39,141,67,62,7
Los Angeles Valiant,0,0,16,-46,2,48,145,103,62,8
Shanghai Dragons,23,12,4,22,38,16,124,-23,63,1
Chengdu Hunters,13,11,5,19,38,19,116,-71,63,2
Seoul Dynasty,12,12,4,17,38,21,120,-38,63,3
Philadelphia Fusion,11,10,6,11,36,25,126,-6,63,4
Hangzhou Spark,8,8,8,4,32,28,128,-12,63,5
New York Excelsior,7,7,9,-3,29,32,124,-27,63,6
Guangzhou Charge,4,4,12,-26,15,41,140,73,63,7
Los Angeles Valiant,0,0,16,-44,4,48,146,104,63,8
Shanghai Dragons,22,12,4,21,38,17,123,-24,64,1
Chengdu Hunters,13,11,5,17,38,21,116,-67,64,2
Seoul Dynasty,12,12,4,17,39,22,121,-33,64,3
Philadelphia Fusion,10,10,6,13,37,24,126,-12,64,4
Hangzhou Spark,7,7,9,1,32,31,131,-1,64,5
New York Excelsior,7,7,9,-3,29,32,124,-27,64,6
Guangzhou Charge,5,5,11,-20,18,38,137,58,64,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,64,8
Shanghai Dragons,20,12,4,21,38,17,123,-24,65,1
Seoul Dynasty,13,12,4,18,39,21,121,-33,65,2
Chengdu Hunters,13,11,5,16,38,22,115,-69,65,3
Philadelphia Fusion,9,9,7,9,35,26,129,-2,65,4
New York Excelsior,8,8,8,0,31,31,121,-37,65,5
Hangzhou Spark,7,7,9,0,31,31,131,3,65,6
Guangzhou Charge,5,5,11,-18,19,37,137,54,65,7
Los Angeles Valiant,0,0,16,-46,2,48,147,108,65,8
Shanghai Dragons,22,12,4,22,38,16,123,-26,66,1
Chengdu Hunters,13,11,5,18,38,20,117,-64,66,2
Philadelphia Fusion,11,11,5,17,38,21,124,-21,66,3
Seoul Dynasty,11,11,5,13,36,23,122,-29,66,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,66,5
New York Excelsior,7,7,9,-5,27,32,125,-18,66,6
Guangzhou Charge,4,4,12,-25,15,40,139,68,66,7
Los Angeles Valiant,0,0,16,-45,3,48,146,103,66,8
Shanghai Dragons,22,12,4,21,38,17,124,-20,67,1
Chengdu Hunters,13,11,5,16,38,22,116,-66,67,2
Seoul Dynasty,12,12,4,18,39,21,120,-37,67,3
Philadelphia Fusion,10,10,6,12,36,24,126,-11,67,4
Hangzhou Spark,8,8,8,4,34,30,128,-9,67,5
New York Excelsior,7,7,9,-3,29,32,124,-28,67,6
Guangzhou Charge,4,4,12,-22,17,39,140,66,67,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,67,8
Shanghai Dragons,20,12,4,19,38,19,123,-22,68,1
Chengdu Hunters,13,11,5,17,38,21,117,-63,68,2
Seoul Dynasty,13,11,5,14,37,23,122,-29,68,3
Philadelphia Fusion,11,11,5,17,38,21,124,-20,68,4
Hangzhou Spark,8,8,8,2,32,30,128,-5,68,5
New York Excelsior,7,7,9,-3,29,32,125,-23,68,6
Guangzhou Charge,4,4,12,-20,19,39,139,56,68,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,68,8
Shanghai Dragons,20,12,4,19,38,19,123,-20,69,1
Seoul Dynasty,14,12,4,18,40,22,120,-40,69,2
Chengdu Hunters,13,11,5,19,38,19,117,-67,69,3
Philadelphia Fusion,10,10,6,13,37,24,126,-11,69,4
Hangzhou Spark,7,7,9,0,31,31,130,-4,69,5
New York Excelsior,7,7,9,-4,28,32,125,-21,69,6
Guangzhou Charge,4,4,12,-23,18,41,139,64,69,7
Los Angeles Valiant,1,1,15,-42,5,47,144,99,69,8
Shanghai Dragons,20,12,4,20,38,18,123,-21,70,1
Chengdu Hunters,15,11,5,17,38,21,117,-64,70,2
Philadelphia Fusion,11,11,5,15,38,23,124,-15,70,3
Seoul Dynasty,11,11,5,15,38,23,122,-34,70,4
Hangzhou Spark,8,8,8,4,32,28,128,-12,70,5
New York Excelsior,7,7,9,-2,30,32,125,-26,70,6
Guangzhou Charge,4,4,12,-24,16,40,139,67,70,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,70,8
Shanghai Dragons,22,12,4,21,38,17,122,-27,71,1
Chengdu Hunters,13,10,6,13,37,24,119,-55,71,2
Philadelphia Fusion,11,11,5,17,38,21,123,-25,71,3
Seoul Dynasty,11,11,5,14,37,23,124,-23,71,4
Hangzhou Spark,7,7,9,1,32,31,132,3,71,5
New York Excelsior,7,7,9,-4,28,32,125,-21,71,6
Guangzhou Charge,6,6,10,-16,21,37,134,47,71,7
Los Angeles Valiant,0,0,16,-46,2,48,145,101,71,8
Shanghai Dragons,23,12,4,20,38,18,124,-19,72,1
Chengdu Hunters,13,11,5,16,38,22,116,-64,72,2
Seoul Dynasty,12,12,4,18,40,22,120,-38,72,3
Philadelphia Fusion,10,10,6,13,37,24,126,-13,72,4
Hangzhou Spark,8,8,8,3,33,30,128,-8,72,5
New York Excelsior,7,7,9,-3,29,32,124,-26,72,6
Guangzhou Charge,4,4,12,-22,18,40,140,65,72,7
Los Angeles Valiant,0,0,16,-45,3,48,146,103,72,8
Shanghai Dragons,20,12,4,20,38,18,124,-19,73,1
Seoul Dynasty,14,12,4,19,40,21,120,-40,73,2
Chengdu Hunters,13,11,5,17,38,21,116,-68,73,3
Philadelphia Fusion,10,10,6,11,36,25,126,-7,73,4
Hangzhou Spark,8,8,8,2,32,30,128,-6,73,5
New York Excelsior,7,7,9,-2,30,32,124,-30,73,6
Guangzhou Charge,4,4,12,-22,18,40,140,65,73,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,73,8
Shanghai Dragons,23,12,4,20,38,18,124,-19,74,1
Seoul Dynasty,12,12,4,19,40,21,121,-38,74,2
Chengdu Hunters,12,10,6,14,37,23,118,-59,74,3
Philadelphia Fusion,10,10,6,13,36,23,125,-16,74,4
Hangzhou Spark,8,8,8,2,32,30,129,-4,74,5
New York Excelsior,7,7,9,-4,28,32,124,-23,74,6
Guangzhou Charge,5,5,11,-20,20,40,138,61,74,7
Los Angeles Valiant,0,0,16,-44,4,48,145,98,74,8
Shanghai Dragons,20,12,4,19,38,19,123,-19,75,1
Chengdu Hunters,14,11,5,13,38,25,116,-59,75,2
Seoul Dynasty,12,12,4,18,40,22,121,-34,75,3
Philadelphia Fusion,10,10,6,12,37,25,126,-12,75,4
Hangzhou Spark,7,7,9,1,32,31,131,0,75,5
New York Excelsior,7,7,9,-1,31,32,124,-31,75,6
Guangzhou Charge,5,5,11,-17,20,37,137,53,75,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,75,8
Shanghai Dragons,23,12,4,21,38,17,124,-20,76,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,76,2
Seoul Dynasty,12,12,4,18,39,21,120,-38,76,3
Philadelphia Fusion,10,10,6,12,36,24,126,-10,76,4
Hangzhou Spark,8,8,8,4,33,29,128,-10,76,5
New York Excelsior,7,7,9,-3,29,32,124,-28,76,6
Guangzhou Charge,4,4,12,-23,16,39,140,68,76,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,76,8
Shanghai Dragons,22,12,4,21,38,17,122,-27,77,1
Chengdu Hunters,14,11,5,16,38,22,117,-62,77,2
Philadelphia Fusion,11,11,5,15,38,23,124,-16,77,3
Seoul Dynasty,11,11,5,15,38,23,123,-29,77,4
Hangzhou Spark,7,7,9,0,31,31,131,1,77,5
New York Excelsior,7,7,9,-2,30,32,125,-26,77,6
Guangzhou Charge,5,5,11,-20,18,38,136,55,77,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,77,8
Shanghai Dragons,22,12,4,20,38,18,123,-20,78,1
Chengdu Hunters,13,11,5,16,38,22,117,-61,78,2
Philadelphia Fusion,11,11,5,17,38,21,124,-22,78,3
Seoul Dynasty,11,11,5,14,37,23,122,-31,78,4
Hangzhou Spark,8,8,8,6,34,28,128,-15,78,5
New York Excelsior,7,7,9,-4,28,32,125,-21,78,6
Guangzhou Charge,4,4,12,-23,16,39,139,66,78,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,78,8
Shanghai Dragons,20,12,4,21,38,17,124,-20,79,1
Chengdu Hunters,15,11,5,16,38,22,116,-66,79,2
Seoul Dynasty,12,12,4,18,39,21,120,-39,79,3
Philadelphia Fusion,10,10,6,11,36,25,126,-7,79,4
Hangzhou Spark,8,8,8,4,33,29,128,-11,79,5
New York Excelsior,7,7,9,-1,31,32,124,-32,79,6
Guangzhou Charge,4,4,12,-24,16,40,140,70,79,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,79,8
Shanghai Dragons,19,11,5,18,37,19,126,-15,80,1
Seoul Dynasty,15,13,3,20,41,21,118,-42,80,2
Chengdu Hunters,13,11,5,16,38,22,116,-62,80,3
Philadelphia Fusion,10,10,6,14,37,23,126,-17,80,4
Hangzhou Spark,7,7,9,1,32,31,130,-4,80,5
New York Excelsior,7,7,9,-5,27,32,124,-20,80,6
Guangzhou Charge,5,5,11,-20,20,40,138,61,80,7
Los Angeles Valiant,0,0,16,-44,4,48,146,99,80,8
Shanghai Dragons,23,12,4,20,38,18,123,-21,81,1
Seoul Dynasty,13,12,4,18,39,21,121,-36,81,2
Chengdu Hunters,13,11,5,16,38,22,115,-69,81,3
Philadelphia Fusion,9,9,7,7,33,26,129,4,81,4
New York Excelsior,8,8,8,2,31,29,121,-41,81,5
Hangzhou Spark,7,7,9,1,32,31,131,-2,81,6
Guangzhou Charge,5,5,11,-20,19,39,137,59,81,7
Los Angeles Valiant,0,0,16,-44,4,48,147,106,81,8
Shanghai Dragons,22,12,4,22,38,16,122,-29,82,1
Chengdu Hunters,13,11,5,15,38,23,116,-65,82,2
Seoul Dynasty,11,11,5,13,36,23,123,-22,82,3
Philadelphia Fusion,11,10,6,11,35,24,127,-6,82,4
New York Excelsior,8,8,8,1,30,29,122,-37,82,5
Hangzhou Spark,7,7,9,2,33,31,131,0,82,6
Guangzhou Charge,5,5,11,-18,20,38,136,51,82,7
Los Angeles Valiant,0,0,16,-46,2,48,147,108,82,8
Shanghai Dragons,20,12,4,21,38,17,125,-18,83,1
Seoul Dynasty,13,12,4,17,38,21,120,-34,83,2
Chengdu Hunters,12,10,6,13,36,23,117,-63,83,3
Philadelphia Fusion,9,9,7,9,35,26,128,-5,83,4
Hangzhou Spark,9,9,7,7,35,28,126,-14,83,5
New York Excelsior,8,8,8,0,31,31,121,-37,83,6
Guangzhou Charge,4,4,12,-21,18,39,141,66,83,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,83,8
Shanghai Dragons,22,12,4,21,38,17,123,-25,84,1
Chengdu Hunters,13,11,5,16,38,22,116,-63,84,2
Seoul Dynasty,12,12,4,17,39,22,121,-33,84,3
Philadelphia Fusion,10,10,6,13,37,24,126,-13,84,4
Hangzhou Spark,7,7,9,0,31,31,131,1,84,5
New York Excelsior,7,7,9,-3,29,32,124,-25,84,6
Guangzhou Charge,5,5,11,-20,19,39,137,57,84,7
Los Angeles Valiant,0,0,16,-44,4,48,146,101,84,8
Shanghai Dragons,20,12,4,21,38,17,124,-22,85,1
Chengdu Hunters,15,11,5,17,38,21,116,-68,85,2
Seoul Dynasty,13,12,4,16,38,22,120,-34,85,3
Philadelphia Fusion,10,10,6,12,37,25,126,-8,85,4
Hangzhou Spark,8,8,8,4,32,28,128,-10,85,5
New York Excelsior,7,7,9,-1,31,32,124,-32,85,6
Guangzhou Charge,4,4,12,-23,16,39,140,66,85,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,85,8
Shanghai Dragons,23,12,4,22,38,16,123,-26,86,1
Chengdu Hunters,13,11,5,17,38,21,117,-65,86,2
Philadelphia Fusion,11,11,5,15,38,23,124,-16,86,3
Seoul Dynasty,11,11,5,13,36,23,122,-27,86,4
Hangzhou Spark,8,8,8,5,34,29,128,-11,86,5
New York Excelsior,7,7,9,-3,29,32,125,-25,86,6
Guangzhou Charge,4,4,12,-23,16,39,139,64,86,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,86,8
Shanghai Dragons,23,12,4,20,38,18,123,-23,87,1
Chengdu Hunters,13,11,5,18,38,20,116,-69,87,2
Seoul Dynasty,12,12,4,17,39,22,121,-33,87,3
Philadelphia Fusion,10,10,6,13,37,24,126,-11,87,4
Hangzhou Spark,7,7,9,0,31,31,131,1,87,5
New York Excelsior,7,7,9,-3,29,32,124,-27,87,6
Guangzhou Charge,5,5,11,-19,19,38,137,55,87,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,87,8
Shanghai Dragons,20,12,4,20,38,18,124,-19,88,1
Seoul Dynasty,13,12,4,17,39,22,120,-36,88,2
Chengdu Hunters,13,11,5,16,38,22,115,-68,88,3
Philadelphia Fusion,9,9,7,10,36,26,129,-3,88,4
Hangzhou Spark,8,8,8,4,33,29,128,-10,88,5
New York Excelsior,8,8,8,1,32,31,121,-38,88,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,88,7
Los Angeles Valiant,0,0,16,-46,2,48,147,109,88,8
Shanghai Dragons,19,11,5,18,37,19,126,-15,89,1
Seoul Dynasty,14,13,3,20,41,21,118,-41,89,2
Chengdu Hunters,13,11,5,16,38,22,115,-68,89,3
Philadelphia Fusion,9,9,7,10,36,26,129,-4,89,4
New York Excelsior,8,8,8,0,31,31,121,-36,89,5
Hangzhou Spark,7,7,9,1,32,31,130,-3,89,6
Guangzhou Charge,5,5,11,-19,19,38,138,59,89,7
Los Angeles Valiant,0,0,16,-46,2,48,147,108,89,8
Shanghai Dragons,23,12,4,21,38,17,124,-20,90,1
Chengdu Hunters,13,11,5,17,38,21,116,-65,90,2
Seoul Dynasty,12,12,4,19,39,20,120,-42,90,3
Philadelphia Fusion,10,10,6,12,35,23,126,-11,90,4
Hangzhou Spark,8,8,8,3,32,29,128,-10,90,5
New York Excelsior,7,7,9,-4,28,32,124,-23,90,6
Guangzhou Charge,4,4,12,-25,16,41,140,72,90,7
Los Angeles Valiant,0,0,16,-43,5,48,146,99,90,8
Shanghai Dragons,23,12,4,20,38,18,123,-20,91,1
Seoul Dynasty,13,12,4,20,40,20,121,-38,91,2
Chengdu Hunters,13,11,5,16,38,22,116,-67,91,3
Philadelphia Fusion,10,10,6,11,35,24,126,-9,91,4
Hangzhou Spark,7,7,9,0,31,31,131,2,91,5
New York Excelsior,7,7,9,-3,29,32,124,-29,91,6
Guangzhou Charge,5,5,11,-18,19,37,137,56,91,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,91,8
Shanghai Dragons,20,12,4,20,38,18,122,-24,92,1
Chengdu Hunters,14,10,6,12,35,23,119,-55,92,2
Seoul Dynasty,11,11,5,16,39,23,123,-32,92,3
Philadelphia Fusion,11,11,5,14,38,24,124,-13,92,4
New York Excelsior,8,8,8,3,32,29,123,-37,92,5
Hangzhou Spark,7,7,9,0,31,31,131,0,92,6
Guangzhou Charge,5,5,11,-20,19,39,136,56,92,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,92,8
Shanghai Dragons,23,12,4,20,38,18,122,-24,93,1
Chengdu Hunters,13,11,5,17,38,21,116,-64,93,2
Seoul Dynasty,11,11,5,14,37,23,123,-30,93,3
Philadelphia Fusion,11,10,6,14,37,23,127,-12,93,4
New York Excelsior,8,8,8,-1,30,31,122,-28,93,5
Hangzhou Spark,7,7,9,2,33,31,131,-6,93,6
Guangzhou Charge,5,5,11,-22,18,40,136,60,93,7
Los Angeles Valiant,0,0,16,-44,4,48,147,104,93,8
Shanghai Dragons,23,12,4,21,38,17,123,-23,94,1
Seoul Dynasty,13,12,4,19,39,20,121,-36,94,2
Chengdu Hunters,13,11,5,17,38,21,116,-69,94,3
Philadelphia Fusion,10,10,6,11,35,24,126,-8,94,4
Hangzhou Spark,7,7,9,0,31,31,131,2,94,5
New York Excelsior,7,7,9,-3,29,32,124,-29,94,6
Guangzhou Charge,5,5,11,-19,18,37,137,57,94,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,94,8
Shanghai Dragons,20,12,4,20,38,18,124,-20,95,1
Chengdu Hunters,13,10,6,15,37,22,118,-60,95,2
Seoul Dynasty,12,12,4,18,40,22,120,-40,95,3
Philadelphia Fusion,10,10,6,14,37,23,126,-14,95,4
Hangzhou Spark,8,8,8,2,32,30,128,-8,95,5
New York Excelsior,8,8,8,-1,30,31,122,-28,95,6
Guangzhou Charge,4,4,12,-24,17,41,140,68,95,7
Los Angeles Valiant,0,0,16,-44,4,48,146,102,95,8
Shanghai Dragons,20,12,4,20,38,18,123,-21,96,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,96,2
Seoul Dynasty,12,12,4,18,39,21,121,-36,96,3
Philadelphia Fusion,11,10,6,11,36,25,126,-7,96,4
Hangzhou Spark,7,7,9,1,32,31,131,-2,96,5
New York Excelsior,7,7,9,-2,30,32,124,-30,96,6
Guangzhou Charge,5,5,11,-20,19,39,137,59,96,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,96,8
Shanghai Dragons,23,12,4,21,38,17,123,-23,97,1
Chengdu Hunters,15,11,5,18,38,20,117,-66,97,2
Philadelphia Fusion,11,11,5,16,38,22,124,-19,97,3
Seoul Dynasty,11,11,5,14,37,23,122,-30,97,4
Hangzhou Spark,8,8,8,5,33,28,128,-12,97,5
New York Excelsior,7,7,9,-5,27,32,125,-20,97,6
Guangzhou Charge,4,4,12,-23,16,39,139,65,97,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,97,8
Shanghai Dragons,23,12,4,21,38,17,123,-26,98,1
Chengdu Hunters,13,11,5,18,38,20,116,-69,98,2
Seoul Dynasty,11,11,5,14,37,23,122,-29,98,3
Philadelphia Fusion,10,10,6,13,37,24,127,-8,98,4
Hangzhou Spark,8,8,8,2,32,30,128,-5,98,5
New York Excelsior,8,8,8,0,31,31,122,-33,98,6
Guangzhou Charge,4,4,12,-22,17,39,139,60,98,7
Los Angeles Valiant,0,0,16,-46,2,48,147,110,98,8
Shanghai Dragons,20,12,4,21,38,17,123,-22,99,1
Seoul Dynasty,14,12,4,18,39,21,121,-36,99,2
Chengdu Hunters,13,11,5,16,38,22,116,-66,99,3
Philadelphia Fusion,10,10,6,11,36,25,126,-8,99,4
Hangzhou Spark,7,7,9,2,33,31,131,-4,99,5
New York Excelsior,7,7,9,-2,30,32,124,-30,99,6
Guangzhou Charge,5,5,11,-21,18,39,137,62,99,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,99,8
Shanghai Dragons,23,12,4,20,38,18,122,-28,100,1
Chengdu Hunters,13,11,5,19,38,19,117,-66,100,2
Philadelphia Fusion,11,11,5,17,38,21,124,-20,100,3
Seoul Dynasty,11,11,5,14,37,23,123,-26,100,4
Hangzhou Spark,7,7,9,-2,29,31,131,6,100,5
New York Excelsior,7,7,9,-5,27,32,125,-18,100,6
Guangzhou Charge,5,5,11,-18,19,37,136,48,100,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,100,8
Shanghai Dragons,23,12,4,22,38,16,124,-22,101,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,101,2
Seoul Dynasty,12,12,4,17,38,21,120,-35,101,3
Philadelphia Fusion,10,10,6,12,36,24,126,-11,101,4
Hangzhou Spark,8,8,8,5,34,29,128,-11,101,5
New York Excelsior,7,7,9,-4,28,32,124,-26,101,6
Guangzhou Charge,4,4,12,-23,16,39,140,68,101,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,101,8
Shanghai Dragons,20,12,4,21,38,17,125,-17,102,1
Seoul Dynasty,15,12,4,17,39,22,121,-35,102,2
Chengdu Hunters,11,9,7,11,36,25,119,-57,102,3
Philadelphia Fusion,9,9,7,9,35,26,127,-7,102,4
Hangzhou Spark,9,9,7,8,35,27,127,-17,102,5
New York Excelsior,8,8,8,0,30,30,121,-35,102,6
Guangzhou Charge,5,5,11,-22,18,40,139,69,102,7
Los Angeles Valiant,0,0,16,-44,4,48,145,99,102,8
Shanghai Dragons,22,12,4,20,38,18,123,-23,103,1
Chengdu Hunters,13,11,5,18,38,20,116,-66,103,2
Seoul Dynasty,12,12,4,18,40,22,121,-36,103,3
Philadelphia Fusion,10,10,6,14,37,23,126,-15,103,4
Hangzhou Spark,7,7,9,-1,30,31,131,2,103,5
New York Excelsior,7,7,9,-5,27,32,124,-20,103,6
Guangzhou Charge,5,5,11,-20,18,38,137,57,103,7
Los Angeles Valiant,0,0,16,-44,4,48,146,101,103,8
Shanghai Dragons,20,12,4,19,38,19,124,-14,104,1
Seoul Dynasty,12,12,4,19,40,21,120,-41,104,2
Chengdu Hunters,12,10,6,12,36,24,118,-58,104,3
Philadelphia Fusion,11,10,6,12,36,24,126,-11,104,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,104,5
New York Excelsior,8,8,8,1,31,30,122,-36,104,6
Guangzhou Charge,4,4,12,-22,17,39,140,68,104,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,104,8
Shanghai Dragons,23,12,4,21,38,17,123,-24,105,1
Seoul Dynasty,13,12,4,18,39,21,121,-35,105,2
Chengdu Hunters,13,11,5,16,38,22,116,-65,105,3
Philadelphia Fusion,10,10,6,12,36,24,126,-10,105,4
Hangzhou Spark,7,7,9,0,31,31,131,1,105,5
New York Excelsior,7,7,9,-2,30,32,124,-29,105,6
Guangzhou Charge,5,5,11,-20,19,39,137,58,105,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,105,8
Shanghai Dragons,20,12,4,22,38,16,124,-23,106,1
Seoul Dynasty,14,12,4,17,38,21,120,-37,106,2
Chengdu Hunters,13,11,5,17,38,21,116,-68,106,3
Philadelphia Fusion,10,10,6,11,36,25,126,-6,106,4
Hangzhou Spark,8,8,8,4,32,28,128,-11,106,5
New York Excelsior,7,7,9,-1,31,32,124,-32,106,6
Guangzhou Charge,4,4,12,-25,15,40,140,71,106,7
Los Angeles Valiant,0,0,16,-45,3,48,146,106,106,8
Shanghai Dragons,20,12,4,20,38,18,123,-21,107,1
Chengdu Hunters,13,11,5,17,38,21,116,-67,107,2
Seoul Dynasty,12,11,5,15,38,23,122,-32,107,3
Philadelphia Fusion,10,10,6,13,37,24,127,-10,107,4
Hangzhou Spark,8,8,8,4,33,29,128,-10,107,5
New York Excelsior,8,8,8,-1,30,31,122,-31,107,6
Guangzhou Charge,4,4,12,-22,17,39,139,63,107,7
Los Angeles Valiant,0,0,16,-46,2,48,147,108,107,8
Shanghai Dragons,19,11,5,18,37,19,127,-12,108,1
Seoul Dynasty,15,13,3,22,41,19,117,-49,108,2
Chengdu Hunters,14,11,5,18,38,20,116,-70,108,3
Philadelphia Fusion,10,10,6,10,35,25,126,-5,108,4
Hangzhou Spark,8,8,8,2,32,30,127,-9,108,5
New York Excelsior,7,7,9,-3,29,32,124,-28,108,6
Guangzhou Charge,4,4,12,-23,18,41,141,70,108,7
Los Angeles Valiant,0,0,16,-44,4,48,146,103,108,8
Shanghai Dragons,20,12,4,21,38,17,124,-20,109,1
Chengdu Hunters,15,10,6,11,35,24,118,-55,109,2
Seoul Dynasty,12,12,4,17,38,21,120,-36,109,3
Philadelphia Fusion,10,10,6,12,36,24,126,-11,109,4
Hangzhou Spark,8,8,8,5,33,28,128,-12,109,5
New York Excelsior,8,8,8,2,31,29,122,-37,109,6
Guangzhou Charge,4,4,12,-23,16,39,140,68,109,7
Los Angeles Valiant,0,0,16,-45,3,48,146,103,109,8
Shanghai Dragons,19,11,5,18,37,19,126,-16,110,1
Chengdu Hunters,14,11,5,16,38,22,115,-69,110,2
Seoul Dynasty,13,13,3,21,41,20,118,-42,110,3
Philadelphia Fusion,9,9,7,9,35,26,129,-1,110,4
New York Excelsior,8,8,8,1,32,31,121,-39,110,5
Hangzhou Spark,7,7,9,-1,30,31,130,2,110,6
Guangzhou Charge,5,5,11,-18,18,36,138,56,110,7
Los Angeles Valiant,0,0,16,-46,2,48,147,109,110,8
Shanghai Dragons,22,12,4,21,38,17,125,-18,111,1
Seoul Dynasty,13,12,4,18,39,21,120,-36,111,2
Chengdu Hunters,12,10,6,12,37,25,118,-56,111,3
Philadelphia Fusion,10,10,6,13,36,23,125,-18,111,4
Hangzhou Spark,9,9,7,6,35,29,126,-12,111,5
New York Excelsior,7,7,9,-4,28,32,124,-24,111,6
